cas	inchi	inchikey	smiles	formula	definition	checked	alw_cname	che_cname	che_id	chl_id	chs_id	drb_id	eea_cname	ein_id	etx_cname	etx_id	ipc_name	puc_cid	wid_cname	wid_id	zvg_id	uni_id
171262-17-2	InChI=1S/C14H19NO4/c1-4-10-7-6-8-11(5-2)12(10)15(9-19-3)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18)	MHCYOELBTPOBIU-UHFFFAOYSA-N	CCC1=C(C(=CC=C1)CC)N(COC)C(=O)C(=O)O	C14H19NO4							21170709		Alachlor OA					14924483				
17254-80-7													Chloridazon methyl desphenyl		Chloridazon-methyl-desphenyl	98931						
182677-30-1													BDE 138 (2,2’,3,4,4’,5’-hexabromodiphenyl ether)									
187022-11-3	InChI=1S/C14H21NO5S/c1-4-12-8-6-7-11(3)14(12)15(10-20-5-2)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19)	HXAIQOCRALNGKB-UHFFFAOYSA-N	CCC1=CC=CC(=C1N(COCC)C(=O)CS(=O)(=O)O)C	C14H21NO5S							4932268		Acetochlor ESA					6426848				
194992-44-4	InChI=1S/C14H19NO4/c1-4-11-8-6-7-10(3)12(11)15(9-19-5-2)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18)	OTKTUNJJKYTOFF-UHFFFAOYSA-N	CCC1=CC=CC(=C1N(COCC)C(=O)C(=O)O)C	C14H19NO4							21170690		Acetochlor OA					15842091				
25140-90-3													2-(2,6-dichlorophenoxy)propionic acid (2,6-DCPP)									
32534-81-9											10659424		Pentabromodiphenylether		Bromierte Diphenylether, Summe der Kongenere 28, 47, 99, 100, 153 und 154	98828						
32536-52-0	InChI=1S/C12H2Br8O/c13-3-1-5(9(17)11(19)7(3)15)21-6-2-4(14)8(16)12(20)10(6)18/h1-2H	ORYGKUIDIMIRNN-UHFFFAOYSA-N	C1=C(C(=C(C(=C1Br)Br)Br)Br)OC2=CC(=C(C(=C2Br)Br)Br)Br	C12H2Br8O							5020645		Octabromodiphenyl ether					6537506				
33213-65-9	InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19?	RDYMFSUJUZBWLH-AZVNHNRSSA-N	C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	C9H6Cl6O3S							16736499		Beta-Endosulfan		Endosulfan, beta-	7396		12309460				
35065-28-2													PCB 138 (2,2’,3,4,4’,5’-hexachlorobiphenyl)		PCB-138	23225						
35065-29-3													PCB 180 (2,2’,3,4,4’,5,5’-heptachlorobiphenyl)		PCB-180	8632						
35065-30-6													PCB 170 (1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene)									
35694-08-7													PCB 194 (1,2,3,4-tetrachloro-5-(2,3,4,5-tetrachlorophenyl)benzene)									
36483-60-0													Hexabromodiphenylether									
36643-28-4													Tributyltin-cation		Tributylzinnverbindungen	97086						
37680-73-2													PCB 101 (2,2’,4,5,5’-pentachlorobiphenyl)		PCB-101	8628						
38379-99-6	InChI=1S/C12H5Cl5/c13-6-1-2-8(14)7(5-6)11-9(15)3-4-10(16)12(11)17/h1-5H	GXNNLIMMEXHBKV-UHFFFAOYSA-N	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2Cl)Cl)Cl)Cl	C12H5Cl5									PCB 95 (2,2',3,5',6-Pentachlorobiphenyl)					38012				
38380-01-7	InChI=1S/C12H5Cl5/c13-6-1-2-7(9(14)3-6)8-4-11(16)12(17)5-10(8)15/h1-5H	LMQJBFRGXHMNOX-UHFFFAOYSA-N	C1=CC(=C(C=C1Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl	C12H5Cl5									PCB 99 (2,2',4,4',5-Pentachlorobiphenyl)					38013				
38380-03-9	InChI=1S/C12H5Cl5/c13-7-2-1-6(5-10(7)16)11-8(14)3-4-9(15)12(11)17/h1-5H	ARXHIJMGSIYYRZ-UHFFFAOYSA-N	C1=CC(=C(C=C1C2=C(C=CC(=C2Cl)Cl)Cl)Cl)Cl	C12H5Cl5									PCB 110 (2,3,3',4',6-Pentachlorobiphenyl)					38015				
38380-04-0	InChI=1S/C12H4Cl6/c13-6-1-2-7(14)12(18)11(6)5-3-9(16)10(17)4-8(5)15/h1-4H	LKHLFUVHHXCNJH-UHFFFAOYSA-N	C1=CC(=C(C(=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	C12H4Cl6									PCB 149 (2,2',3,4',5',6-Hexachlorobiphenyl)					38016				
51908-16-8	InChI=1S/C12H4Cl6/c13-5-1-7(12(18)11(17)2-5)6-3-9(15)10(16)4-8(6)14/h1-4H	BQHCQAQLTCQFJZ-UHFFFAOYSA-N	C1=C(C=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl	C12H4Cl6									PCB 146 (2,2',3,4',5,5'-Hexachlorobiphenyl)					40172				
52236-30-3													Desamino-diketo-metribuzin									
526-75-0	InChI=1S/C8H10O/c1-6-4-3-5-8(9)7(6)2/h3-5,9H,1-2H3	QWBBPBRQALCEIZ-UHFFFAOYSA-N	CC1=C(C(=CC=C1)O)C	C8H10O							13839151		2,3-dimethyl-phenol		2,3-Dimethylphenol	2488		10687				
52663-63-5	InChI=1S/C12H4Cl6/c13-5-1-2-7(14)6(3-5)10-11(17)8(15)4-9(16)12(10)18/h1-4H	UHCLFIWDCYOTOL-UHFFFAOYSA-N	C1=CC(=C(C=C1Cl)C2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl	C12H4Cl6									PCB 151 (2,2',3,5,5',6-Hexachlorobiphenyl)					40471				
52663-68-0													PCB 187 (2,2',3,4',5,5',6-Heptachlorobiphenyl)									
52663-69-1													PCB 183 (82,2',3,4,4',5',6-Heptachloro-1,1'-biphenyl)									
52663-70-4													PCB 177 (3,3',4',5,6-Heptachlorobiphenyl)									
576-26-1	InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3	NXXYKOUNUYWIHA-UHFFFAOYSA-N	CC1=C(C(=CC=C1)C)O	C8H10O							13839174		2,6-dimethyl-phenol		2,6-Dimethylphenol	2661		11335				
1217-07-09	InChI=1S/C9H17N5O/c1-5-10-6-11-7(13-8(15)12-6)14-9(2,3)4/h5H2,1-4H3,(H3,10,11,12,13,14,15)	OYTCZOJKXCTBHG-UHFFFAOYSA-N	CCNC1=NC(=O)NC(=N1)NC(C)(C)C	C9H17N5O							4324299		Hydroxyterbuthylazine					135495928				
68928-80-3													BDE 183  (Heptabromodiphenylether)									
7012-37-5													PCB 28 (2,4,4’-trichlorobiphenyl)		PCB-28	8633						
77-47-4													Hexachlorocyclopentadiene (HCCP)		1,2,3,4,5,5-Hexachlor-1,3-cyclopentadien	366						
78-88-6	InChI=1S/C3H4Cl2/c1-3(5)2-4/h1-2H2	FALCMQXTWHPRIH-UHFFFAOYSA-N	C=C(CCl)Cl	C3H4Cl2							6317		2,3-dichloropropene		2,3-Dichlorpropen	418		6565				
793-24-8													4-(dimethylbutylamino) diphenylamin (6PPD)		N-1,3-dimethylbutyl-N'-phenyl-p-phenylenediamine	12880						
84852-15-3	InChI=1S/C15H24O/c1-13(2)7-5-3-4-6-8-14-9-11-15(16)12-10-14/h9-13,16H,3-8H2,1-2H3	JSFITYFUKSFPBZ-UHFFFAOYSA-N	CC(C)CCCCCCC1=CC=C(C=C1)O	C15H24O									4-nonylphenol, branched		4-Nonylphenol	7498		338733				
85535-85-9													Chloroalkanes C14-17,MCCP		Medium-chain chlorinated Paraffins	37121						
95-49-8	InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3	IBSQPLPBRSHTTG-UHFFFAOYSA-N	CC1=CC=CC=C1Cl	C7H7Cl							13875281		2-chlorotoluene		2-Chlortoluol	850		7238				
959-98-8	InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19?	RDYMFSUJUZBWLH-AZVNHNRSSA-N	C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	C9H6Cl6O3S			alpha-endosulfan				29367913		Alpha-Endosulfan					12309460				
0994-05-08	InChI=1S/C14H22N4O4S/c1-10-5-7-11(8-6-10)23(20,21)18-12(13(19)22-2)4-3-9-17-14(15)16/h5-8,12,18H,3-4,9H2,1-2H3,(H4,15,16,17)/t12-/m0/s1	FKMJXALNHKIDOD-LBPRGKRZSA-N	CC1=CC=C(C=C1)S(=O)(=O)NC(CCCN=C(N)N)C(=O)OC	C14H22N4O4S							43074		TAME		2-Methoxy-2-methylbutane	35646		1550286	TAME	Q1530726		
76-13-1	InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8	AJDIZQLSFPQPEY-UHFFFAOYSA-N	C(C(F)(Cl)Cl)(F)(F)Cl	C2Cl3F3						CHEMBL478511	6188		1,1,2-trichlorotrifluoroethane	200-936-1	1,1,2-Trichlortrifluorethan	8742		6428	1,1,2-trichlorotrifluoroethane	Q161276	31730	0739N04X3A
25167-83-3											5806		Tetrachlorophenols						tetrachlorophenols	Q18028440		
15950-66-0	InChI=1S/C6H3Cl3O/c7-3-1-2-4(10)6(9)5(3)8/h1-2,10H	HSQFVBWFPBKHEB-UHFFFAOYSA-N	C1=CC(=C(C(=C1O)Cl)Cl)Cl	C6H3Cl3O						CHEMBL1341844	25672		2,3,4-Trichlorophenol	240-083-2	2,3,4-Trichlorphenol	5572		27582	2,3,4-trichlorophenol	Q2024329	129361	8JWE1AV71F
1998-06-06	InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3	YTZKOQUCBOVLHL-UHFFFAOYSA-N	CC(C)(C)C1=CC=CC=C1	C10H14						CHEMBL1797277	7088		tert-butylbenzene	202-632-4	1,1-Dimethylethyl-benzol	967		7366	tert-butylbenzene	Q20950424	570085	M1R2NME7S2
75-71-8	InChI=1S/CCl2F2/c2-1(3,4)5	PXBRQCKWGAHEHS-UHFFFAOYSA-N	C(F)(F)(Cl)Cl	CCl2F2							6151		Dichlorodifluoromethane		Methan, Dichlordifluor-	11810		6391	Dichlorodifluoromethane	Q21761520		
1689-99-2	InChI=1S/C15H17Br2NO2/c1-2-3-4-5-6-7-14(19)20-15-12(16)8-11(10-18)9-13(15)17/h8-9H,2-7H2,1H3	DQKWXTIYGWPGOO-UHFFFAOYSA-N	CCCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br	C15H17Br2NO2			bromoxynil octanoate			CHEMBL1903970	14777		Bromoxynil octanoate	216-885-3	2,6-Dibrom-4-cyanphenyloctanoat	19557		15533	bromoxynil octanoate	Q22133404	490340	9HL5XAW9SK
108-41-8	InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3	OSOUNOBYRMOXQQ-UHFFFAOYSA-N	CC1=CC(=CC=C1)Cl	C7H7Cl						CHEMBL1797289	13875230		3-chlorotoluene	203-580-5	3-Chlortoluol	8733		7931	3-chlorotoluene	Q22283423	38740	5K8172K9TT
95-51-2	InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2	AKCRQHGQIJBRMN-UHFFFAOYSA-N	C1=CC=C(C(=C1)N)Cl	C6H6ClN						CHEMBL389885	13854248		2-chloroaniline	202-426-4	2-Chloranilin	8656		7240	2-chloroaniline	Q2294431	18780	G14I494T2F
6108-10-07	InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H	JLYXXMFPNIAWKQ-UHFFFAOYSA-N	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	C6H6Cl6							16736910		Epsilon-HCH	228-068-9				727	epsilon-HCH	Q23014127		
141776-32-1	InChI=1S/C16H18N6O7S2/c1-4-30(24,25)13-14(22-8-6-5-7-10(22)17-13)31(26,27)21-16(23)20-15-18-11(28-2)9-12(19-15)29-3/h5-9H,4H2,1-3H3,(H2,18,19,20,21,23)	RBSXHDIPCIWOMG-UHFFFAOYSA-N	CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC	C16H18N6O7S2			sulfosulfuron			CHEMBL2251590	77941		Sulfosulfuron	604-251-2				86426	sulfosulfuron	Q2364499	535077	Y0XC20DL6D
563-58-6	InChI=1S/C3H4Cl2/c1-2-3(4)5/h2H,1H3	ZAIDIVBQUMFXEC-UHFFFAOYSA-N	CC=C(Cl)Cl	C3H4Cl2						CHEMBL1595845	10771		1,1-dichloropropene	209-253-3				11245	1,1-dichloropropene	Q24755666	510425	5C5688865R
594-20-7	InChI=1S/C3H6Cl2/c1-3(2,4)5/h1-2H3	ZEOVXNVKXIPWMS-UHFFFAOYSA-N	CC(C)(Cl)Cl	C3H6Cl2						CHEMBL349587	11170		2,2-dichloropropane	209-832-0				11660	2,2-dichloropropane	Q25384673	32040	C5V432N6XB
18785-72-3	InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2	QAOWNCQODCNURD-UHFFFAOYSA-L	[O-]S(=O)(=O)[O-]	O4S-2					CHEBI:26820		1085		Sulphate					1117	sulfate	Q25997675		
1336-36-3													Polychlorinated biphenyls		PCB	7512			Polychlorinated biphenyls	Q26340926		
933-78-8	InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(9)5(10)2-3/h1-2,10H	WWGQHTJIFOQAOC-UHFFFAOYSA-N	C1=C(C=C(C(=C1O)Cl)Cl)Cl	C6H3Cl3O						CHEMBL1569358	13030		2,3,5-trichlorophenol	213-272-2	2,3,5-Trichlorphenol	3266		13619	2,3,5-trichlorophenol	Q2682869	107928	6T7DUC2C8B
95-87-4	InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3	NKTOLZVEWDHZMU-UHFFFAOYSA-N	CC1=CC(=C(C=C1)C)O	C8H10O						CHEMBL192591	13839128		2,5-dimethylphenol	202-461-5	2,5-Dimethylphenol	880		7267	2,5-xylenol	Q26840762	490115	XH3E3564KX
172960-62-2	InChI=1S/C14H17N3O4S/c1-11-5-3-6-12(2)14(11)17(10-16-8-4-7-15-16)13(18)9-22(19,20)21/h3-8H,9-10H2,1-2H3,(H,19,20,21)	IPVCSECPEVHQOV-UHFFFAOYSA-N	CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CS(=O)(=O)O	C14H17N3O4S					CHEBI:83482		28290254		Metazachlor ESA					86290102	metazachlor ESA	Q27156864		
152019-73-3	InChI=1S/C15H21NO4/c1-5-12-8-6-7-10(2)13(12)16(11(3)9-20-4)14(17)15(18)19/h6-8,11H,5,9H2,1-4H3,(H,18,19)	LNOOSYCKMKZOJB-UHFFFAOYSA-N	CCC1=CC=CC(=C1N(C(C)COC)C(=O)C(=O)O)C	C15H21NO4					CHEBI:83652	CHEMBL3560187	21170688		Metolachlor OA	690-353-2				15842092	metolachlor oa	Q27157057		V09UDI0MFU
1825-21-4	InChI=1S/C7H3Cl5O/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h1H3	BBABSCYTNHOKOG-UHFFFAOYSA-N	COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	C7H3Cl5O						CHEMBL3182755	14993		Pentachloroanisole	625-770-0				15767	pentachloroanisole	Q27251610		14D125MH3W
609-19-8	InChI=1S/C6H3Cl3O/c7-4-1-3(10)2-5(8)6(4)9/h1-2,10H	GBNHEBQXJVDXSW-UHFFFAOYSA-N	C1=C(C=C(C(=C1Cl)Cl)Cl)O	C6H3Cl3O						CHEMBL1484480	11366		3,4,5-Trichlorophenol	210-183-0	3,4,5-Trichlorphenol	2812		11859	3,4,5-trichlorophenol	Q27254825	105831	2JF54EGE7O
16655-82-6	InChI=1S/C12H15NO4/c1-12(2)10(14)7-5-4-6-8(9(7)17-12)16-11(15)13-3/h4-6,10,14H,1-3H3,(H,13,15)	RHSUJRQZTQNSLL-UHFFFAOYSA-N	CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C	C12H15NO4						CHEMBL1867082	26024		3-hydroxycarbofuran	625-078-9				27975	3-hydroxycarbofuran	Q27268397		7J7N7A61BJ
1031-07-08	InChI=1S/C9H6Cl6O4S/c10-5-6(11)8(13)4-2-19-20(16,17)18-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2	AAPVQEMYVNZIOO-UHFFFAOYSA-N	C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	C9H6Cl6O4S							16736500		Endosulfan sulfate	623-765-8	Endosulfansulfat	7397		13940	endosulfan sulfate	Q27270909		8QTV9M19B2
732-26-3	InChI=1S/C18H30O/c1-16(2,3)12-10-13(17(4,5)6)15(19)14(11-12)18(7,8)9/h10-11,19H,1-9H3	PFEFOYRSMXVNEL-UHFFFAOYSA-N	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C	C18H30O						CHEMBL387905	12368		2,4,6-tri-tert-butylphenol	211-989-5	2,4,6-Tris(1,1-dimethylethyl)phenol	9247		12902	2,4,6-tri-tert-butylphenol	Q27272216		99J2VIC675
85-22-3	InChI=1S/C8H5Br5/c1-2-3-4(9)6(11)8(13)7(12)5(3)10/h2H2,1H3	FIAXCDIQXHJNIX-UHFFFAOYSA-N	CCC1=C(C(=C(C(=C1Br)Br)Br)Br)Br	C8H5Br5						CHEMBL3560446	6542		Pentabromoethylbenzene	201-593-0				6800	2,3,4,5,6-pentabromoethylbenzene	Q3899218	490105	697LYO57KP
933-75-5	InChI=1S/C6H3Cl3O/c7-3-1-2-4(8)6(10)5(3)9/h1-2,10H	XGCHAIDDPMFRLJ-UHFFFAOYSA-N	C1=CC(=C(C(=C1Cl)O)Cl)Cl	C6H3Cl3O						CHEMBL1458681	13029		2,3,6-Trichlorophenol	213-271-7	2,3,6-Trichlorphenol	3265		13618	2,3,6-trichlorophenol	Q4537756	107927	AE2CMR564U
64743-03-9											21106365		Phenols						Phenols	Q56624302		
59473-04-0	InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13-,14-,15-,16-,18-,19-/m0/s1	QGXBDMJGAMFCBF-LUJOEAJASA-N	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O	C19H30O2							390065		AOX					441302	AOX	Q61567089		
13351-73-0											8381		Tolyltriazole	249-596-6					tolyltriazole	Q62062010	491063	
89-21-4	InChI=1S/C7H6ClNO3/c1-12-7-3-2-5(8)4-6(7)9(10)11/h2-4H,1H3	OSAYFGJUEOYRHY-UHFFFAOYSA-N	COC1=C(C=C(C=C1)Cl)[N+](=O)[O-]	C7H6ClNO3							59998		4-chloro-2-nitroanisole	201-887-9				66631	4-Chloro-2-nitroanisole	Q72455670		
7085-19-0	InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)	WNTGYJSOUMFZEP-UHFFFAOYSA-N	CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O	C10H11ClO3							6886		Mecoprop	230-386-8	2-(4-Chlor-2-methylphenoxy)-propionsäure	11641		7153	Mecoprop	Q72488299		
85535-84-8													Chloroalkanes C10-13	287-476-5	Alkanes, C10-13, chloro	23740			Chloroalkanes C10-13	Q72516955	492006	
25637-99-4	InChI=1S/C12H18Br6/c13-7-1-8(14)3-10(16)5-12(18)6-11(17)4-9(15)2-7/h7-12H,1-6H2	LEOCKULGXOQRTQ-UHFFFAOYSA-N	C1C(CC(CC(CC(CC(CC1Br)Br)Br)Br)Br)Br	C12H18Br6							30614		1,3,5,7,9,11-hexabromocyclododecane		1,2,5,6,9,10-Hexabromcyclododecan	98067		33121	1,3,5,7,9,11-Hexabromocyclododecane	Q81981830		
35045-02-4	InChI=1S/C8H13N3OS/c1-8(2,3)5-6(12)9-7(13-4)11-10-5/h1-4H3,(H,9,11,12)	MIWRSUQXSCLDNV-UHFFFAOYSA-N	CC(C)(C)C1=NN=C(NC1=O)SC	C8H13N3OS							33978		Metribuzin-DA					135502804	Metribuzin-DA	Q81985181		
85721-33-1	InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)	MYSWGUAQZAJSOK-UHFFFAOYSA-N	OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	C17H18FN3O3	A  quinolone that is quinolin-4(1H)-one bearing cyclopropyl, carboxylic acid, fluoro and piperazin-1-yl substituents at positions 1, 3, 6 and 7, respectively.			ciprofloxacin	CHEBI:100241		2662		Ciprofloxacin		Ciprofloxacin	98794	1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid	2764	Ciprofloxacin	Q68125927		
135-19-3	InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H	JWAZRIHNYRIHIV-UHFFFAOYSA-N	Oc1ccc2ccccc2c1	C10H8O	A naphthol carrying a hydroxy group at position 2.			2-naphthol	CHEBI:10432	CHEMBL14126	8341		2-naphthol	205-182-7	2-Naphthol	8522	naphthalen-2-ol	8663	2-naphthol	Q949232	11530	P2Z71CIK5H
330-54-1	InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	C9H10Cl2N2O	A member of the class of phenylureas that is urea in which both of the hydrogens attached to one nitrogen are substituted by methyl groups, and one of the hydrogens attached to the other nitrogen is substituted by a 3,4-dichlorophenyl group.		diuron	diuron	CHEBI:116509	CHEMBL278489	3008		Diuron	206-354-4	Diuron	7390	3-(3,4-dichlorophenyl)-1,1-dimethylurea	3120	diuron	Q425389	12290	9I3SDS92WY
4901-51-3	InChI=1S/C6H2Cl4O/c7-2-1-3(11)5(9)6(10)4(2)8/h1,11H	RULKYXXCCZZKDZ-UHFFFAOYSA-N	C1(O)=C(C(=C(C(=C1)Cl)Cl)Cl)Cl	C6H2Cl4O	A tetrachlorophenol in which the chlorines are located at positions 2, 3, 4, and 5.			2,3,4,5-tetrachlorophenol	CHEBI:132357	CHEMBL1528479	19766		2,3,4,5-tetrachlorophenol	225-531-7	2,3,4,5-Tetrachlorphenol	8638	2,3,4,5-tetrachlorophenol	21013	2,3,4,5-tetrachlorophenol	Q26840906	117502	D2UW5NHW9J
58-90-2	InChI=1S/C6H2Cl4O/c7-2-1-3(8)6(11)5(10)4(2)9/h1,11H	VGVRPFIJEJYOFN-UHFFFAOYSA-N	C1(O)=C(C(=C(C=C1Cl)Cl)Cl)Cl	C6H2Cl4O	A tetrachlorophenol in which the chlorines are located at positions 2, 3, 4, and 6.			2,3,4,6-tetrachlorophenol	CHEBI:132359	CHEMBL320361	5806		2,3,4,6-tetrachlorophenol	200-402-8	2,3,4,6-Tetrachlorphenol	134	2,3,4,6-tetrachlorophenol	6028	2,3,4,6-tetrachlorophenol	Q22051085	510368	2442S914FX
